# Rime user dictionary
#@/db_name	chaoqiang_yinxing.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	337
#@/user_id	881be20d-8ad9-4b8c-b3d2-9e4d79109605
nn 	那	c=4 d=2.96644 t=337
nnmt 	那么	c=1 d=0.818731 t=337
nssa 	你是谁啊	c=1 d=0.882497 t=337
nv 	能	c=7 d=3.70131 t=337
nvf 	难	c=1 d=1 t=337
ol 	哦	c=1 d=0.726149 t=337
p 	平	c=2 d=1.78543 t=337
pcv 	皮	c=3 d=2.73737 t=337
pfhc 	偏好	c=2 d=1.34071 t=337
pfhl 	皮肤护理	c=1 d=0.67368 t=337
pltb 	平台版	c=1 d=0.965605 t=337
puyy 	拼音	c=1 d=1 t=337
qfys 	企业	c=1 d=0.687289 t=337
qqx 	千	c=1 d=1 t=337
qv 	去	c=1 d=0.865022 t=337
qvll 	起来	c=1 d=0.733447 t=337
r 	人	c=1 d=1 t=337
rcl 	如	c=1 d=0.814647 t=337
rp 	让	c=3 d=2.10401 t=337
rthe 	然后	c=2 d=1.32202 t=337
s 	是	c=15 d=5.73503 t=337
sabh 	上班	c=2 d=1.62409 t=337
sayye 	上瘾	c=1 d=0.946485 t=337
sbzd 	是不知道	c=1 d=0.878095 t=337
sffd 	舒服	c=5 d=4.54733 t=337
sfmt 	什么	c=4 d=2.76709 t=337
sh 	三	c=1 d=0.955997 t=337
sk 	死	c=1 d=1 t=337
skr 	爽	c=6 d=5.29117 t=337
slf 	啥	c=5 d=3.09989 t=337
smdm 	收到	c=1 d=1 t=48
smk 	随	c=2 d=1.89084 t=337
smrf 	输入法	c=1 d=0.970446 t=337
sp 	说	c=4 d=2.71145 t=337
spf 	谁	c=3 d=1.79872 t=337
splm 	说了	c=1 d=0.865022 t=337
sptb 	双平台版	c=1 d=0.955997 t=337
spzg 	设置	c=2 d=1.34743 t=337
sqg 	算	c=1 d=0.790571 t=337
sqjb 	升级	c=1 d=0.83527 t=337
sqxy 	生效	c=1 d=0.88692 t=337
ss 	时	c=2 d=1.79616 t=337
sshf 	时候	c=2 d=1.96546 t=337
sujx 	手机	c=1 d=0.955997 t=337
sunn 	撒尿	c=1 d=0.826959 t=337
sv 	双	c=3 d=2.5223 t=337
svpt 	双平台	c=1 d=0.960789 t=337
swsa 	身上	c=1 d=1 t=337
t 	他	c=3 d=2.48567 t=337
tdn 	腿	c=1 d=0.802519 t=337
tk 	太	c=2 d=1.2297 t=337
tl 	听	c=1 d=0.960789 t=337
tush 	提示	c=3 d=2.62229 t=337
tvl 	台	c=1 d=0.946485 t=337
us 	已	c=1 d=1 t=337
v 	这	c=5 d=3.15387 t=337
vi 	——	c=2 d=1.91353 t=337
wexf 	微信	c=2 d=1.3746 t=337
whll 	未来	c=1 d=0.680451 t=337
whsh 	我还是和	c=1 d=0.806541 t=337
wi 	为	c=2 d=1.2161 t=337
wisl 	为啥	c=3 d=2.40851 t=337
wjbq 	五笔	c=1 d=0.99005 t=337
wl 	味	c=1 d=0.882497 t=337
wmc 	万	c=1 d=1 t=337
wq 	我	c=20 d=9.64098 t=337
wssa 	晚上	c=2 d=1.50158 t=337
wuts 	问题	c=1 d=0.759572 t=337
wxzh 	我现在还	c=1 d=0.873716 t=337
x 	学	c=1 d=0.640824 t=337
xa 	些	c=1 d=0.70822 t=337
xbg 	细	c=1 d=0.873716 t=337
xd 	小	c=4 d=2.5543 t=337
xe 	行	c=1 d=0.995012 t=337
xf 	像	c=1 d=0.737123 t=337
xfnc 	仙女	c=1 d=0.759572 t=337
xhzk 	现在	c=5 d=3.07713 t=337
xj 	下	c=4 d=2.73386 t=337
xjmg 	项目	c=2 d=1.34494 t=337
xk 	雄	c=1 d=1 t=337
xom 	学	c=1 d=0.612626 t=337
xp 	心	c=2 d=1.91209 t=337
xpqo 	心情	c=1 d=0.818731 t=337
xqp 	选	c=1 d=0.960789 t=337
xttb 	系统	c=2 d=1.32737 t=337
xv 	习	c=1 d=0.644036 t=337
xx 	想	c=8 d=6.09784 t=337
y 	一	c=15 d=7.74189 t=337
ybwy 	英文	c=1 d=0.697676 t=337
ybyp 	英语	c=1 d=0.615697 t=337
ycmk 	源码	c=2 d=1.24206 t=337
yfrt 	依然	c=1 d=0.904837 t=337
yhdh 	运动	c=1 d=0.891366 t=337
yidk 	养大	c=1 d=1 t=337
yixa 	丫	c=2 d=1.79353 t=337
yj 	要	c=1 d=1 t=337
yk 	有	c=2 d=1.48432 t=337
ykbw 	原版	c=1 d=0.918512 t=337
ykv 	友	c=1 d=1 t=337
ykvv 	压	c=2 d=1.96561 t=337
yl 	呀	c=1 d=1 t=337
ym 	也	c=1 d=1 t=337
ymym 	医院	c=1 d=0.927743 t=337
yolo 	慵懒	c=1 d=0.932394 t=337
ysg 	映	c=1 d=0.690734 t=337
yt 	用	c=2 d=1.93635 t=337
yv 	又	c=1 d=0.923116 t=337
